County,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abbeville,"36,787","35,456","36,187","35,525","35,932","40,211","41,118","42,412","46,499"
Aiken,"42,826","45,699","43,876","48,537","48,012","47,394","51,583","52,633","56,824"
Allendale,"24,820","25,633","25,753","25,530","27,089","26,864","28,135","29,124","32,147"
Anderson,"41,000","39,905","41,591","43,124","44,745","45,821","48,846","51,740","54,496"
Bamberg,"28,467","30,170","30,762","30,349","29,642","32,245","32,693","36,230","35,364"
Barnwell,"33,178","32,042","31,899","32,205","33,280","41,803","36,568","38,131","36,675"
Beaufort,"55,018","54,139","56,354","55,427","60,071","65,354","60,319","65,843","73,890"
Berkeley,"49,516","49,872","50,794","52,436","55,876","58,690","57,399","62,204","68,690"
Calhoun,"38,417","42,006","40,593","41,209","41,277","41,786","45,149","45,385","47,090"
Charleston,"49,432","48,200","51,206","52,752","56,244","56,564","60,144","62,958","70,980"
Cherokee,"36,400","37,135","37,726","38,947","37,098","38,273","34,962","42,542","46,905"
Chester,"32,857","33,718","36,523","37,537","35,006","39,972","40,850","42,116","45,400"
Chesterfield,"30,378","31,936","33,591","34,949","36,520","39,869","38,881","39,046","42,441"
Clarendon,"30,780","30,519","30,096","32,268","34,654","34,541","36,647","36,722","39,900"
Colleton,"32,963","33,208","33,817","35,558","33,745","35,760","36,139","39,079","40,808"
Darlington,"36,248","34,103","34,209","35,640","36,719","37,711","38,886","37,206","44,007"
Dillon,"26,308","29,205","33,696","30,516","31,094","31,761","32,229","33,159","35,483"
Dorchester,"51,332","53,924","55,193","56,388","55,595","58,167","63,269","65,468","68,051"
Edgefield,"42,289","42,065","44,862","44,129","46,430","46,816","48,059","48,818","52,591"
Fairfield,"34,700","34,007","35,531","35,490","36,622","36,715","40,285","39,522","42,496"
Florence,"39,663","40,577","41,028","42,232","41,197","45,044","43,727","47,949","49,770"
Georgetown,"40,864","40,962","41,213","44,283","44,395","47,842","48,373","46,058","53,747"
Greenville,"48,480","47,044","49,476","49,659","52,017","55,452","56,311","61,162","64,399"
Greenwood,"37,038","37,187","37,217","38,878","42,240","40,599","42,740","43,879","43,958"
Hampton,"31,915","32,934","32,941","33,644","30,772","35,667","36,834","35,871","37,560"
Horry,"38,807","40,249","41,808","42,830","47,083","45,608","45,979","49,082","53,648"
Jasper,"34,927","35,692","34,852","37,715","37,231","41,902","40,960","43,125","50,790"
Kershaw,"41,055","46,019","44,787","45,411","48,233","48,824","50,627","52,270","56,318"
Lancaster,"40,372","43,479","40,837","44,854","47,279","53,421","57,667","58,035","63,842"
Laurens,"35,839","36,483","36,771","38,268","39,731","43,191","41,695","42,099","47,038"
Lee,"28,733","30,053","30,972","31,510","31,525","32,015","33,756","33,199","37,710"
Lexington,"50,738","52,249","53,880","54,098","55,413","57,623","60,329","60,627","62,059"
McCormick,"35,209","39,413","38,186","38,694","41,589","43,262","44,644","44,683","48,645"
Marion,"27,726","29,140","28,520","32,283","30,528","31,556","31,438","34,365","35,138"
Marlboro,"28,662","28,927","31,185","31,170","32,485","32,991","33,412","33,534","34,532"
Newberry,"38,024","38,808","37,890","42,000","41,120","42,128","42,538","48,029","50,773"
Oconee,"42,142","42,062","42,077","39,548","44,819","46,996","51,087","50,529","52,240"
Orangeburg,"31,605","33,796","32,180","31,382","37,651","34,557","36,358","37,134","38,736"
Pickens,"40,221","39,823","42,400","41,375","44,091","46,154","48,133","48,794","52,949"
Richland,"45,182","47,606","47,492","49,782","51,065","51,973","52,187","52,611","52,905"
Saluda,"39,689","41,552","40,366","42,286","41,409","43,685","44,487","46,019","49,493"
Spartanburg,"40,687","41,327","42,638","44,050","45,768","47,706","51,035","53,567","55,588"
Sumter,"40,858","39,014","39,182","37,906","41,058","41,205","44,375","45,181","49,611"
Union,"33,981","32,717","34,042","37,501","35,467","39,119","41,327","40,686","42,851"
Williamsburg,"27,750","28,121","29,391","29,609","28,943","28,314","32,421","32,814","34,409"
York,"51,017","51,427","54,927","54,196","57,302","61,044","62,620","64,904","68,468"
