Per Capita Personal Income by County 2011-2021,,,,,,,,,,,,,,,,,,,,,,
County,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
South Carolina,"$34,479","$35,989","$36,204","$38,152","$40,053","$41,178","$42,758","$44,155","$46,681","$49,105","$52,467"
Abbeville,"$27,831","$27,612","$28,310","$29,575","$31,254","$31,651","$32,614","$33,592","$34,990","$38,094","$40,596"
Aiken,"$35,499","$36,142","$36,052","$37,511","$39,510","$40,116","$41,797","$43,087","$45,459","$48,208","$51,057"
Allendale,"$26,633","$27,282","$26,288","$26,928","$27,561","$29,815","$31,711","$33,245","$34,309","$39,852","$41,814"
Anderson,"$32,005","$32,749","$33,295","$34,931","$36,109","$37,325","$38,524","$39,902","$41,621","$43,933","$46,894"
Bamberg,"$27,916","$27,814","$28,599","$30,789","$30,906","$31,778","$32,846","$34,363","$36,074","$38,795","$41,081"
Barnwell,"$28,407","$28,316","$28,793","$30,124","$30,890","$31,486","$32,215","$33,671","$35,568","$38,813","$41,828"
Beaufort,"$44,409","$46,382","$47,024","$50,406","$53,013","$54,182","$56,234","$58,546","$63,489","$66,301","$70,166"
Berkeley,"$32,527","$33,071","$33,331","$35,027","$36,522","$38,129","$39,781","$41,336","$43,510","$45,454","$48,919"
Calhoun,"$31,694","$32,498","$32,444","$33,000","$35,784","$36,417","$38,221","$40,227","$43,214","$46,304","$50,375"
Charleston,"$45,263","$50,419","$48,451","$51,859","$54,999","$57,159","$59,522","$61,412","$67,053","$68,720","$73,032"
Cherokee,"$27,650","$28,082","$27,543","$28,558","$29,856","$30,526","$31,765","$32,687","$34,346","$37,154","$40,230"
Chester,"$26,840","$27,872","$27,845","$29,411","$30,492","$30,817","$32,281","$33,165","$35,924","$39,521","$43,169"
Chesterfield,"$25,338","$25,917","$26,922","$27,422","$28,921","$30,018","$30,903","$32,452","$34,058","$36,209","$39,538"
Clarendon,"$26,138","$28,254","$29,857","$30,149","$31,518","$32,686","$33,831","$35,414","$37,054","$40,794","$44,874"
Colleton,"$29,155","$28,365","$28,869","$30,266","$31,425","$32,477","$33,499","$34,726","$36,296","$39,240","$42,481"
Darlington,"$30,405","$31,135","$32,598","$33,584","$34,924","$35,587","$37,406","$38,909","$41,182","$44,051","$47,845"
Dillon,"$23,538","$24,347","$24,710","$25,582","$27,040","$28,154","$29,037","$30,301","$32,450","$35,315","$39,567"
Dorchester,"$33,891","$34,267","$34,313","$35,862","$36,616","$37,050","$37,836","$39,652","$41,157","$43,321","$46,857"
Edgefield,"$27,681","$29,778","$29,801","$31,213","$32,948","$34,930","$37,261","$37,099","$39,389","$42,991","$45,299"
Fairfield,"$29,802","$31,100","$32,072","$33,483","$35,206","$36,537","$37,405","$38,694","$40,794","$44,890","$48,634"
Florence,"$33,921","$34,555","$34,871","$36,254","$37,634","$39,087","$39,923","$41,646","$44,609","$47,692","$51,554"
Georgetown,"$37,197","$37,983","$37,585","$39,818","$42,473","$43,260","$45,150","$46,800","$50,433","$53,677","$57,656"
Greenville,"$37,687","$39,912","$40,034","$42,482","$44,754","$45,258","$47,211","$48,563","$50,680","$52,376","$55,442"
Greenwood,"$31,325","$31,234","$31,920","$33,226","$34,845","$35,079","$36,269","$37,066","$38,712","$41,762","$44,723"
Hampton,"$27,076","$26,135","$26,757","$27,085","$28,273","$29,273","$30,528","$31,778","$33,314","$38,107","$41,689"
Horry,"$30,720","$31,482","$32,199","$33,931","$35,634","$36,527","$37,642","$39,028","$41,360","$44,241","$46,817"
Jasper,"$24,113","$24,398","$25,636","$27,338","$28,590","$29,353","$30,354","$32,745","$35,901","$39,314","$41,531"
Kershaw,"$33,221","$35,006","$35,558","$36,477","$39,174","$39,608","$40,887","$42,187","$44,272","$46,901","$50,635"
Lancaster,"$33,043","$34,693","$36,271","$38,139","$42,275","$45,288","$49,184","$52,550","$53,991","$51,986","$55,033"
Laurens,"$28,724","$29,402","$29,810","$31,121","$32,099","$32,771","$34,200","$34,971","$36,102","$38,476","$41,245"
Lee,"$25,373","$26,316","$27,307","$26,656","$27,979","$30,047","$30,501","$31,833","$33,989","$37,142","$41,364"
Lexington,"$37,016","$38,413","$39,358","$41,600","$44,030","$45,267","$47,040","$47,695","$49,874","$51,900","$55,304"
McCormick,"$28,226","$28,995","$29,008","$30,515","$32,821","$33,863","$35,839","$38,484","$39,739","$42,206","$44,391"
Marion,"$25,773","$25,915","$26,669","$28,106","$29,213","$29,749","$30,864","$32,646","$34,745","$37,956","$41,519"
