County,2011 Pop, 2011 Percentage,2012 Population,2012 Percentage, 2013 Population, 2013 Percentage, 2014 Population, 2014 Percentage,2015 Population, 2015 Percentage, 2016 Population, 2016 Percentage,2017 Population, 2017 Percentage,2018 Population, 2018 Percentage, 2019 Population, 2019 Percentage,2020 Population, 2020 Percentage, 2021 Population, 2021 Percentage
South Carolina,"852,999",18.80%,"837,327",18.30%,"858,553",18.50%,"838,065",17.90%,"796,609",16.80%,"739,574",15.30%,"750,359",15.40%,"750,582",15.20%,"695,259",13.90%,"703,004",13.80%,"736,098",14.50%
Abbeville,"4,986",20.40%,"4,911",20.20%,"4,918",20.30%,"5,178",21.40%,"4,617",19.10%,"3,689",15.30%,"4,850",20.30%,"4,545",19.10%,"3,508",14.80%,"3,628",15.30%,"3,498",14.80%
Aiken,"31,892",20.20%,"27,465",17.10%,"29,553",18.30%,"26,875",16.60%,"29,497",18.10%,"28,039",17.00%,"24,465",14.80%,"25,095",15.00%,"21,071",12.50%,"22,201",13.00%,"26,041",15.50%
Allendale,"3,539",39.90%,"3,562",41.10%,"3,616",42.40%,"3,328",39.90%,"3,312",41.00%,"3,013",38.20%,"2,892",36.70%,"2,901",37.30%,"2,313",30.20%,"2,342",31.60%,"2,487",35.40%
Anderson,"29,142",15.70%,"33,021",17.70%,"31,258",16.70%,"31,752",16.70%,"32,807",17.20%,"29,703",15.40%,"28,083",14.40%,"28,843",14.60%,"25,717",12.90%,"28,177",14.00%,"32,461",15.90%
Bamberg,"4,428",29.50%,"4,325",29.20%,"4,430",30.70%,"4,209",29.70%,"4,534",32.70%,"3,885",28.40%,"3,631",26.50%,"3,605",26.70%,"3,226",24.20%,"2,766",21.00%,"3,249",25.90%
Barnwell,"5,319",24.10%,"6,304",28.80%,"5,455",25.00%,"5,843",27.00%,"5,837",27.30%,"4,789",22.60%,"5,833",27.70%,"4,661",22.40%,"5,115",24.90%,"4,418",21.60%,"4,680",23.00%
Beaufort,"20,549",12.90%,"21,292",13.10%,"23,447",14.10%,"22,025",12.90%,"22,498",12.90%,"18,326",10.30%,"19,418",10.70%,"19,881",10.90%,"18,979",10.20%,"18,245",9.60%,"20,996",11.30%
Berkeley,"27,721",15.50%,"25,549",13.80%,"29,750",15.70%,"26,592",13.70%,"25,852",13.00%,"25,313",12.30%,"25,085",11.70%,"27,687",12.80%,"23,953",10.70%,"25,655",11.10%,"23,708",10.20%
Calhoun,"3,003",20.00%,"2,977",20.10%,"2,939",19.70%,"2,841",19.30%,"3,114",21.30%,"2,370",16.20%,"2,646",18.20%,"2,647",18.40%,"2,613",18.20%,"2,240",15.50%,"2,629",18.70%
Charleston,"66,260",19.10%,"63,775",18.00%,"63,040",17.40%,"62,336",16.80%,"56,459",14.90%,"57,691",15.00%,"51,780",13.30%,"55,971",14.20%,"46,853",11.70%,"48,326",11.90%,"55,612",13.80%
Cherokee,"12,346",22.50%,"12,331",22.40%,"13,348",24.30%,"12,295",22.30%,"11,195",20.30%,"10,318",18.60%,"11,258",20.20%,"9,394",16.80%,"8,951",16.00%,"8,181",14.60%,"10,318",18.80%
Chester,"9,597",29.40%,"8,019",24.80%,"6,980",21.60%,"7,209",22.50%,"8,203",25.70%,"6,328",19.80%,"6,178",19.30%,"5,830",18.20%,"5,651",17.70%,"5,859",18.30%,"5,530",17.30%
Chesterfield,"11,585",25.20%,"11,355",25.00%,"12,067",26.50%,"11,991",26.40%,"10,653",23.50%,"9,310",20.50%,"9,993",22.10%,"9,453",20.90%,"8,937",19.90%,"8,879",19.70%,"8,658",20.20%
Clarendon,"7,569",22.90%,"9,826",30.00%,"8,915",27.30%,"8,793",27.00%,"8,191",25.40%,"8,045",24.90%,"7,526",23.20%,"8,520",26.40%,"8,053",25.10%,"5,901",18.40%,"6,243",20.80%
Colleton,"10,743",28.10%,"8,283",22.00%,"8,956",24.00%,"8,566",23.00%,"8,601",23.10%,"8,774",23.40%,"8,325",22.40%,"7,440",20.00%,"7,823",21.00%,"7,437",20.10%,"7,964",20.90%
Darlington,"15,988",23.90%,"16,894",25.30%,"18,755",28.20%,"16,800",25.30%,"14,194",21.50%,"13,878",21.10%,"14,391",21.90%,"15,356",23.50%,"12,767",19.60%,"12,327",18.90%,"12,886",20.90%
Dillon,"10,286",32.90%,"8,695",28.00%,"8,325",27.10%,"9,141",29.80%,"9,581",31.20%,"7,757",25.60%,"9,004",29.80%,"9,648",32.10%,"8,022",26.80%,"6,636",22.20%,"7,239",26.10%
Dorchester,"17,843",12.90%,"15,930",11.40%,"19,017",13.30%,"18,717",12.80%,"20,380",13.60%,"14,329",9.50%,"15,362",10.00%,"17,466",11.00%,"14,871",9.30%,"19,791",12.10%,"15,929",9.90%
Edgefield,"4,657",19.60%,"4,932",21.10%,"4,630",19.70%,"4,122",17.50%,"4,459",18.90%,"4,180",17.70%,"4,146",17.30%,"4,489",18.50%,"3,839",15.70%,"4,161",16.80%,"4,047",16.80%
Fairfield,"5,295",22.80%,"5,537",24.10%,"5,245",23.10%,"5,231",23.10%,"5,180",23.00%,"4,715",21.20%,"4,287",19.30%,"5,219",23.70%,"4,198",19.10%,"3,820",17.60%,"4,212",20.60%
Florence,"28,655",21.30%,"26,967",20.00%,"27,126",20.10%,"26,454",19.50%,"27,558",20.30%,"24,811",18.30%,"25,235",18.60%,"24,375",18.00%,"22,950",17.00%,"23,016",17.10%,"25,173",18.80%
Georgetown,"13,289",22.40%,"11,814",19.80%,"12,749",21.30%,"11,811",19.60%,"11,713",19.30%,"9,222",15.20%,"10,418",17.10%,"12,064",19.60%,"10,842",17.50%,"9,475",15.10%,"9,345",14.70%
Greenville,"71,212",15.80%,"74,268",16.30%,"74,913",16.20%,"69,140",14.70%,"66,299",13.80%,"53,113",10.90%,"61,200",12.40%,"55,837",11.10%,"54,815",10.70%,"63,371",12.10%,"56,924",10.90%
Greenwood,"13,633",20.20%,"14,055",20.90%,"17,211",25.60%,"14,844",22.10%,"12,878",19.10%,"14,687",21.70%,"12,431",18.30%,"12,455",18.30%,"12,277",18.00%,"11,250",16.40%,"10,688",15.90%
Hampton,"5,458",28.30%,"5,105",26.60%,"5,139",27.30%,"4,469",23.80%,"4,373",23.60%,"4,104",22.30%,"4,548",25.10%,"4,637",25.80%,"4,136",23.20%,"3,486",19.60%,"4,208",23.50%
